Latitude,Longitude
3409495.125,-487580.4314
3409504.845,-487598.3596
3409515.2,-487615.5856
3409526.098,-487632.4984
3409537.542,-487649.194
3409549.751,-487665.5662
3409562.4,-487681.8222
3409575.586,-487697.6691
3409589.533,-487713.0966
3409603.916,-487728.3119
3409618.978,-487743.7848
3409634.6,-487759.3284
3409649.995,-487774.7861
3409665.532,-487790.9105
3409681.651,-487807.5855
3409697.534,-487823.9826
3409713.546,-487840.7585
3409729.332,-487857.4485
3409744.762,-487873.6737
3409760.526,-487889.8837
3409776.303,-487906.3816
3409792.075,-487922.7835
3409807.955,-487939.0842
3409823.337,-487954.2535
3409839.182,-487969.7863
3409855.745,-487986.4406
3409871.633,-488002.9331
3409886.953,-488019.1629
3409902.259,-488035.1048
3409917.557,-488050.8547
3409932.979,-488066.8874
3409948.504,-488082.723
3409963.575,-488098.3869
3409978.78,-488114.5255
3409994.099,-488130.755
3410009.406,-488146.6965
3410024.837,-488162.9209
3410040.606,-488179.226
3410056.49,-488195.622
3410071.686,-488211.5684
3410087.344,-488227.8785
3410103.467,-488244.6481
3410119.121,-488260.8621
3410135.014,-488277.4498
3410150.561,-488293.7647
3410165.77,-488309.9987
3410181.534,-488326.2075
3410197.072,-488342.3303
3410212.166,-488358.4733
3410227.033,-488374.5304
3410242.127,-488390.6733
3410257.114,-488406.9172
3410271.849,-488422.4993
3410287.05,-488438.541
3410301.54,-488453.6534
3410316.843,-488469.498
3410332.869,-488486.5599
3410347.95,-488502.4146
3410362.925,-488518.3702
3410377.779,-488534.1389
3410392.847,-488549.7056
3410408.035,-488565.459
3410423.005,-488581.3185
3410437.753,-488597.1881
3410452.385,-488612.9667
3410467.36,-488628.9221
3410482.099,-488644.5996
3410496.936,-488659.9841
3410511.521,-488674.7068
3410525.75,-488688.9649
3410539.988,-488703.4148
3410554.183,-488716.905
3410568.107,-488729.3497
3410582.8,-488741.5669
3410598.71,-488753.6323
3410614.906,-488764.6269
3410631.849,-488774.9143
3410649.525,-488784.2064
3410667.833,-488792.7003
3410686.67,-488800.5931
3410705.921,-488807.7938
3410725.59,-488814.3984
3410745.352,-488820.614
3410765.003,-488826.8347
3410784.65,-488832.9593
3410803.618,-488838.8264
3410823.709,-488844.9307
3410844.809,-488851.1814
3410864.771,-488856.9069
3410883.059,-488862.5163
3410903.035,-488868.5296
3410925.592,-488875.0022
3410946.239,-488881.0811
3410966.761,-488886.877
3410986.724,-488892.6023
3411006.478,-488898.6256
3411025.898,-488904.6641
3411045.541,-488910.6924
3411065.286,-488916.5236
3411084.907,-488922.072
3411104.403,-488927.3376
3411124.007,-488932.502
3411143.237,-488936.818
3411163.091,-488940.1439
3411183.229,-488942.3989
3411203.542,-488943.5882
3411224.686,-488943.4893
3411246.111,-488942.2237
3411267.612,-488940.1853
3411289.287,-488937.0811
3411311.016,-488932.7243
3411332.146,-488927.4333
3411353.117,-488921.0916
3411373.266,-488913.8259
3411392.351,-488905.1662
3411412.049,-488895.3247
3411431.08,-488885.5135
3411450.055,-488874.4549
3411468.627,-488861.876
3411486.146,-488848.1913
3411503.399,-488833.5571
3411520.08,-488818.5644
3411537.059,-488802.7888
3411554.131,-488786.6244
3411570.99,-488770.6621
3411588.067,-488754.5937
3411605.566,-488738.0254
3411623.181,-488721.5479
3411640.458,-488704.9898
3411657.624,-488688.4368
3411675.119,-488671.7726
3411693.058,-488655.0883
3411710.549,-488638.3283
3411727.928,-488621.5734
3411745.965,-488604.5963
3411764.562,-488587.6899
3411782.617,-488571.0967
3411800.006,-488554.534
3411817.07,-488538.1784
3411833.818,-488522.2219
3411850.237,-488506.3766
3411866.456,-488491.0213
3411882.244,-488475.9741
3411898.361,-488460.8158
3411914.375,-488445.8546
3411930.172,-488430.9995
3411946.293,-488415.9373
3411961.885,-488401.4762
3411977.904,-488386.6111
3411994.67,-488371.0389
3412011.098,-488355.3859
3412027.095,-488340.0412
3412043.105,-488324.9843
3412059.018,-488310.2204
3412074.485,-488295.4768
3412089.701,-488280.0717
3412104.121,-488264.3182
3412117.439,-488248.8072
3412130.407,-488232.9277
3412142.57,-488216.5079
3412153.17,-488199.967
3412162.407,-488182.8152
3412170.399,-488165.2393
3412177.571,-488146.7393
3412183.832,-488127.8
3412189.614,-488108.1133
3412194.934,-488088.0631
3412200.045,-488068.3109
3412205.352,-488047.9728
3412210.851,-488026.953
3412216.34,-488005.7412
3412221.613,-487984.6356
3412227.018,-487964.0047
3412232.628,-487942.98
3412237.913,-487922.1623
3412243.323,-487901.6275
3412248.719,-487880.8048
3412254.329,-487859.7801
3412259.774,-487840.013
3412265.09,-487819.8671
3412270.816,-487798.9335
3412276.687,-487778.7624
3412282.91,-487758.96
3412289.145,-487739.4455
3412295.736,-487720.3956
3412303.215,-487701.3053
3412311.28,-487682.8615
3412320.465,-487664.559
3412330.996,-487646.4838
3412342.672,-487629.1257
3412355.388,-487612.5858
3412369.223,-487596.1873
3412383.742,-487580.1423
3412398.736,-487564.7488
3412414.836,-487549.2088
3412432.15,-487533.4214
3412449.237,-487517.5482
3412466.421,-487501.3822
3412484.157,-487485.0949
3412501.795,-487469.1007
3412519.118,-487453.5054
3412535.885,-487437.9355
3412551.891,-487422.7848
3412568.24,-487407.8109
3410439.996,-484793.8418
3410429.933,-484810.0676
3410420.461,-484827.0362
3410411.463,-484844.6564
3410403.162,-484862.9183
3410395.771,-484881.6199
3410389.424,-484901.236
3410384.093,-484921.1909
3410379.566,-484941.6864
3410375.701,-484962.0558
3410372.934,-484982.0871
3410371.043,-485001.7903
3410370.079,-485022.317
3410369.91,-485043.1925
3410370.497,-485063.553
3410372.293,-485083.5703
3410375.076,-485103.2545
3410378.969,-485122.8884
3410383.409,-485142.3052
3410388.28,-485161.414
3410393.498,-485180.7957
3410398.853,-485200.7481
3410403.644,-485220.5337
3410407.439,-485240.4605
3410409.863,-485259.5839
3410411.219,-485279.7172
3410410.602,-485300.5168
3410407.938,-485320.3513
3410403.386,-485340.2712
3410397.586,-485359.6707
3410390.316,-485378.5597
3410381.234,-485396.7614
3410370.242,-485414.5688
3410357.651,-485431.487
3410343.761,-485446.733
3410328.725,-485461.2616
3410312.966,-485474.5728
3410296.689,-485486.2727
3410279.778,-485496.2703
3410262.136,-485504.8585
3410243.873,-485512.0323
3410224.874,-485517.7008
3410205.584,-485521.8438
3410185.775,-485524.3755
3410165.453,-485525.3917
3410144.71,-485524.5035
3410124.129,-485522.2617
3410103.389,-485518.9692
3410082.388,-485514.8231
3410061.254,-485510.202
3410039.902,-485505.6869
3410018.576,-485501.7477
3409996.991,-485499.4551
3409975.492,-485499.0819
3409954.401,-485500.3251
3409934.46,-485502.3818
3409914.682,-485505.5852
3409894.96,-485510.0362
3409876.392,-485515.3967
3409858.317,-485521.7928
3409840.943,-485528.9266
